관측소명,GENNUM,관측소표준코드,최초설치,구분,설치년도,경도-도,경도-분,경도-초,위도-도,위도-분,위도-초,표고(El.m),심도(m)
강진남성,,JN-GJN-E1-0002,수질,심부1,2011,126,46,27.06,34,38,9.13,12,39
강진남성,737556,JN-GJN-E1-0003,수질,심부2,2011,126,46,27.06,34,38,9.13,12,80
강진남성,737555,JN-GJN-E1-0001,수질,천부,2011,126,46,27.06,34,38,9.13,12,13
강진성남,,JN-GJN-E1-0005,수질,심부1,2014,126,48,46.29,34,43,1.58,39,38
강진성남,737558,JN-GJN-E1-0006,수질,심부2,2014,126,48,46.29,34,43,1.58,39,80
강진성남,737557,JN-GJN-E1-0004,수질,천부,2014,126,48,46.29,34,43,1.58,39,10
강진성전,65001,JN-GJN-L1-0001,국가,암반,1998,126,42,29,34,41,20,54.88,67
강진성전,65002,JN-GJN-L1-0002,국가,충적,1998,126,42,29,34,41,20,54.9,9.86
강진옴천,601716,JN-GJN-L1-0005,국가,암반,2011,126,47,35,34,44,41,103.62,100
강진칠량,65003,JN-GJN-L1-0003,국가,암반,1998,126,47,50,34,34,8,8.96,66
강진칠량,65004,JN-GJN-L1-0004,국가,충적,1998,126,47,50,34,34,8,8.93,12
고창고수,11768,JB-GOC-L1-0001,국가,암반,1996,126,41,3,35,23,29,56.21,68
고창고수,11769,JB-GOC-L1-0002,국가,충적,1996,126,41,3,35,23,29,56.21,10
고창대산,82022,JB-GOC-L1-0003,국가,암반,2002,126,33,30,35,18,57,31.963,70
고창삼인,,JB-GOC-E1-0005,수질,심부1,2014,,,,,,,18,30
고창삼인,771419,JB-GOC-E1-0006,수질,심부2,2014,,,,,,,18,80
고창삼인,771420,JB-GOC-E1-0004,수질,천부,2014,,,,,,,18,10
고창상하,82023,JB-GOC-L1-0005,국가,암반,2002,126,29,27,35,25,3,9.515,70
고창상하,82023,JB-GOC-L1-0006,국가,충적,2002,126,29,27,35,25,3,9.498,12.95
고창월암,,JB-GOC-E1-0002,수질,심부1,2014,,,,,,,83,30
고창월암,771421,JB-GOC-E1-0003,수질,심부2,2014,,,,,,,83,80
고창월암,771422,JB-GOC-E1-0001,수질,천부,2014,,,,,,,83,10
고창해리,718277,JB-GOC-L1-0009,국가,암반,2018,126,31,51.79,35,28,4.75,12.91,100
고흥고흥,771370,,국가,암반,,,,,,,,,
고흥과역,771369,,국가,암반,,,,,,,,,
고흥남양,771371,,국가,암반,2021,,,,,,,,
고흥대서,65006,JN-GHG-L1-0001,국가,암반,1998,127,17,2,34,46,8,12.8,71
고흥봉래,771368,,국가,암반,,,,,,,,,
고흥야막,,JN-GHG-E1-0005,수질,심부1,2018,,,,,,,74.479,40
고흥야막,771423,JN-GHG-E1-0006,수질,심부2,2018,,,,,,,74.483,80
고흥야막,771424,JN-GHG-E1-0004,수질,천부,2018,,,,,,,74.475,18
고흥영남,601715,JN-GHG-L1-0002,국가,암반,2011,127,28,2,34,36,24,37.52,100
곡성고달,73525,JN-GKS-L1-0003,국가,암반,2001,127,19,58,35,16,21,54,70
곡성고달,73526,JN-GKS-L1-0004,국가,충적,2001,127,19,58,35,16,21,54,18.52
곡성곡성,622074,JN-GKS-L1-0007,국가,암반,2014,127,15,42,35,14,58,101.06,100
곡성동계,,JN-GKS-E1-0002,수질,심부1,2017,127,21,40.09,35,9,13.64,70.2,33
곡성동계,737570,JN-GKS-E1-0003,수질,심부2,2017,127,21,40.09,35,9,13.64,70.2,80
곡성동계,737569,JN-GKS-E1-0001,수질,천부,2017,127,21,40.09,35,9,13.64,70.2,16
곡성목동,,JN-GKS-E1-0008,수질,심부1,2018,127,20,28.83,35,17,39.79,58.856,30
곡성목동,737572,JN-GKS-E1-0009,수질,심부2,2018,127,20,28.83,35,17,39.79,58.817,80
곡성목동,737571,JN-GKS-E1-0007,수질,천부,2018,127,20,28.83,35,17,39.79,58.863,10
곡성목사동,82033,JN-GKS-L1-0005,국가,암반,2002,127,18,30,35,6,5,103.551,70
곡성백곡,,JN-GKS-E1-0011,수질,심부1,2018,127,20,51.3,35,18,52.11,67.673,30
곡성백곡,737574,JN-GKS-E1-0012,수질,심부2,2018,127,20,51.3,35,18,52.11,67.687,80
곡성백곡,737573,JN-GKS-E1-0010,수질,천부,2018,127,20,51.3,35,18,52.11,67.63,10
곡성석곡,,JN-GKS-E1-0005,수질,심부1,2017,127,15,16.07,35,8,6.41,68.4,46
곡성석곡,769733,JN-GKS-E1-0006,수질,심부2,2017,127,15,16.07,35,8,6.41,68.4,80
곡성석곡,769734,JN-GKS-E1-0004,수질,천부,2017,127,15,16.07,35,8,6.41,68.4,14
곡성옥과,615513,JN-GKS-L1-0006,국가,암반,2013,127,8,44,35,16,39,91.25,100
곡성입면,11776,JN-GKS-L1-0001,국가,암반,1996,127,12,19,35,17,38,82.07,63
곡성입면,11777,JN-GKS-L1-0002,국가,충적,1996,127,12,19,35,17,38,82.07,8.6
광양광양,637533,JN-GWY-L1-0002,국가,암반,2015,127,34,59,34,56,39,8.114,103.5
광양마동,,JN-GWY-E1-0002,수질,심부1,2014,127,41,51.66,34,57,12.62,66.25,30
광양마동,769737,JN-GWY-E1-0003,수질,심부2,2014,127,41,51.66,34,57,12.62,66.25,80
광양마동,769738,JN-GWY-E1-0001,수질,천부,2014,127,41,51.66,34,57,12.62,66.25,10
광양봉강,95527,JN-GWY-L1-0001,국가,암반,2005,127,34,38,35,0,49,53.77,70
광양석사,,JN-GWY-E1-0008,수질,심부1,2014,127,34,23.7,35,58,58.33,27.96,30
광양석사,769739,JN-GWY-E1-0009,수질,심부2,2014,127,34,23.7,35,58,58.33,27.96,80
광양석사,769740,JN-GWY-E1-0007,수질,천부,2014,127,34,23.7,35,58,58.33,27.96,10
광양조령,,JN-GWY-E1-0005,수질,심부1,2014,,,,,,,116.96,30
광양조령,771425,JN-GWY-E1-0006,수질,심부2,2014,,,,,,,116.96,80
광양조령,771426,JN-GWY-E1-0004,수질,천부,2014,,,,,,,116.96,10
광양진상,637534,JN-GWY-L1-0003,국가,암반,2015,127,43,15,35,1,55,18.357,103
광주운림,,GJ-DGK-E1-0002,수질,심부1,2010,,,,,,,134.5,30
광주운림,,GJ-DGK-E1-0003,수질,심부2,2010,,,,,,,134.5,80
광주운림,,GJ-DGK-E1-0001,수질,천부,2010,,,,,,,134.5,10
광주운정,84006,GJ-BKK-L1-0001,국가,암반,2003,126,56,45,35,13,35,61.543,70
광주유덕,442,GJ-SOK-L1-0001,국가,암반,1995,126,51,33,35,9,43,19.653,70
광주유덕,443,GJ-SOK-L1-0002,국가,충적,1995,126,51,33,35,9,43,19.859,10
광주임곡,,GJ-GSK-E1-0002,수질,심부1,2014,126,44,49.73,35,13,15.74,41.23,30
광주임곡,769743,GJ-GSK-E1-0003,수질,심부2,2014,126,44,49.73,35,13,15.74,41.23,80
광주임곡,769744,GJ-GSK-E1-0001,수질,천부,2014,126,44,49.73,35,13,15.74,41.23,10
광주지석,,GJ-NMK-E1-0002,수질,심부1,2014,126,49,59.52,35,4,57.81,28.31,30
광주지석,769745,GJ-NMK-E1-0003,수질,심부2,2014,126,49,59.52,35,4,57.81,28.31,80
광주지석,769746,GJ-NMK-E1-0001,수질,천부,2014,126,49,59.52,35,4,57.81,28.31,10
구례냉천,,JN-GRE-E1-0005,수질,심부1,2018,127,29,2.63,35,13,10.6,41.791,30
구례냉천,737578,JN-GRE-E1-0006,수질,심부2,2018,127,29,2.63,35,13,10.6,41.793,80
구례냉천,737577,JN-GRE-E1-0004,수질,천부,2018,127,29,2.63,35,13,10.6,41.782,10
구례원촌,,JN-GRE-E1-0002,수질,심부1,2011,127,26,14.88,35,18,58.69,127.3,30
구례원촌,737580,JN-GRE-E1-0003,수질,심부2,2011,127,26,14.88,35,18,58.69,127.3,81
구례원촌,737579,JN-GRE-E1-0001,수질,천부,2011,127,26,14.88,35,18,58.69,127.3,13
구례토지,87257,JN-GRE-L1-0001,국가,암반,2004,127,31,52,35,11,41,31.38,40
나주봉황,65050,JN-NJU-L1-0003,국가,암반,1999,126,47,20,34,57,42,20.198,70
나주봉황,65051,JN-NJU-L1-0004,국가,충적,1999,126,47,20,34,57,42,20.184,8.5
나주삼도,11773,JN-NJU-L1-0001,국가,암반,1996,126,44,2,35,2,6,10.24,67
나주삼도,11774,JN-NJU-L1-0002,국가,충적,1996,126,44,2,35,2,6,10.24,10.4
나주왕곡,637537,JN-NJU-L1-0005,국가,암반,2015,126,42,19,34,58,37,9.526,101
나주죽석,,JN-NJU-E1-0003,수질,심부1,2017,126,47,23.27,34,57,24.38,29.34,30
나주죽석,769759,JN-NJU-E1-0004,수질,심부2,2017,126,47,23.27,34,57,24.38,29.34,80
